playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K/9,BB/9,HR/9,KPct,PlayerName
masteju01,2012,1,CLE,AL,11,15,34,34,1,0,0,619.0,212,113,18,88,159,0.269,4.93,1.0,14.0,13.0,0,906.0,0.0,122,6.0,11.0,,206.33,1.45,6.94,3.84,0.79,17.55,Justin Masterson
mcallza01,2012,1,CLE,AL,6,8,22,22,0,0,0,376.0,133,59,19,38,110,0.268,4.24,0.0,0.0,1.0,2,543.0,0.0,78,2.0,5.0,,125.33,1.36,7.9,2.73,1.36,20.26,Zach McAllister
mccarbr01,2012,1,OAK,AL,8,6,18,18,0,0,0,333.0,115,40,10,24,73,0.267,3.24,2.0,0.0,6.0,0,469.0,0.0,44,5.0,4.0,,111.0,1.25,5.92,1.95,0.81,15.57,Brandon McCarthy
mcdonja03,2012,1,PIT,NL,12,8,30,29,1,0,0,513.0,147,80,21,69,151,0.233,4.21,6.0,3.0,4.0,0,713.0,0.0,85,5.0,4.0,,171.0,1.26,7.95,3.63,1.11,21.18,James McDonald
mendolu01,2012,1,KCA,AL,8,10,30,25,0,0,0,498.0,176,78,15,59,104,0.278,4.23,3.0,6.0,11.0,2,709.0,0.0,84,2.0,5.0,,166.0,1.42,5.64,3.2,0.81,14.67,Luis Mendoza
mileywa01,2012,1,ARI,NL,16,11,32,29,0,0,0,584.0,193,72,14,37,144,0.255,3.33,0.0,6.0,2.0,1,807.0,0.0,79,8.0,3.0,,194.67,1.18,6.66,1.71,0.65,17.84,Wade Miley
millwke01,2012,1,SEA,AL,6,12,28,28,1,1,0,483.0,168,76,13,56,107,0.271,4.25,3.0,5.0,3.0,0,689.0,0.0,86,6.0,4.0,,161.0,1.39,5.98,3.13,0.73,15.53,Kevin Millwood
milonto01,2012,1,OAK,AL,13,10,31,31,1,0,0,570.0,207,79,24,36,137,0.278,3.74,2.0,2.0,4.0,0,791.0,0.0,90,3.0,3.0,,190.0,1.28,6.49,1.71,1.14,17.32,Tommy Milone
minormi01,2012,1,ATL,NL,11,10,30,30,0,0,0,538.0,151,82,26,56,145,0.232,4.12,7.0,3.0,5.0,0,728.0,0.0,88,8.0,8.0,,179.33,1.15,7.28,2.81,1.3,19.92,Mike Minor
moorema02,2012,1,TBA,AL,11,11,31,31,0,0,0,532.0,158,75,18,81,175,0.238,3.81,5.0,8.0,7.0,1,759.0,0.0,85,3.0,4.0,,177.33,1.35,8.88,4.11,0.91,23.06,Matt Moore
morrobr01,2012,1,TOR,AL,10,7,21,21,3,3,0,374.0,98,41,12,41,108,0.214,2.96,0.0,3.0,2.0,0,504.0,0.0,45,1.0,3.0,,124.67,1.11,7.8,2.96,0.87,21.43,Brandon Morrow
niesejo01,2012,1,NYN,NL,13,9,30,30,0,0,0,571.0,174,72,22,49,155,0.241,3.4,2.0,6.0,4.0,0,788.0,0.0,77,8.0,4.0,,190.33,1.17,7.33,2.32,1.04,19.67,Jonathon Niese
noesihe01,2012,1,SEA,AL,2,12,22,18,0,0,0,320.0,107,69,21,39,68,0.266,5.82,1.0,1.0,2.0,2,453.0,4.0,71,3.0,7.0,,106.67,1.37,5.74,3.29,1.77,15.01,Hector Noesi
